
 Cta.mayor               4000850000  EMRF CAPEX
 Sociedad                1167

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Ejerc./mes|Lib.mayor |Material          |Cta.CP    |Texto cab.documento      |Referencia      |Doc.comp. |Nº doc.   |Pos|Asignación        |Texto                              |Div.|Fecha doc.|Fe.contab.|CT|       Importe en ML|       Importe en MD|ML   |Mon. |II|Usuario     |Elemento PEP            |Nombre de la cuenta                |Clave de referencia |         Cantidad| Año|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   2018/12   |4000850000|                  |3000089395|EVOLUTIVOS SIGRES UNIF.  |5942174         |          |1300065958|  2|940179341600008   |EVOLUTIVOS SIGRES UNIF.            |    |12.12.2018|28.12.2018|86|         12.122.939 |         12.122.939 |COP  |COP  |N1|GP669124    |P-1167-18-0021-99518-044|                                   |51076066022018      |          17,800 |2018|
|   2019/01   |4000850000|10106181502       |3000087597|SEV-DX-MR33*HW-**********|91904545        |          |1900000783|  2|940222557000002   |SEV-DX-MR33*HW-******************- |    |14.01.2019|25.01.2019|86|            774.207 |             246,31 |COP  |USD  |N0|GP862692    |P-1167-19-5002-03354-201|                                   |51076600812019      |           1,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91887595        |          |1900000784|  2|940210948000056   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |09.01.2019|25.01.2019|86|         19.239.507 |           6.150,60 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601122019      |         510,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91887595        |          |1900000784|  3|940210948000057   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |09.01.2019|25.01.2019|86|         19.201.783 |           6.138,54 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601122019      |         509,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91887595        |          |1900000784|  4|940210948000058   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |09.01.2019|25.01.2019|86|             38.663 |              12,36 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076601122019      |           1,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91884389        |          |1900000785|  2|940210948000054   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |08.01.2019|25.01.2019|86|         15.610.256 |           4.932,54 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076600842019      |         409,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91884389        |          |1900000785|  3|940210948000055   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |08.01.2019|25.01.2019|86|             38.800 |              12,26 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076600842019      |           1,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91880673        |          |1900000786|  2|940210948000052   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |07.01.2019|25.01.2019|86|         19.695.874 |           6.138,54 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076600852019      |         509,000 |2019|
|   2019/01   |4000850000|10106110575       |3000087597|GBT-DX-ROUTER*-CP*PWR*COR|91880673        |          |1900000786|  3|940210948000053   |GBT-DX-ROUTER*-CP*PWR*CORD*NA=***- |    |07.01.2019|25.01.2019|86|             39.177 |              12,21 |COP  |USD  |N0|GP862692    |P-1167-18-4002-03233-201|                                   |51076600852019      |           1,000 |2019|
